IP:PORT, LOSS, DELAY
162.159.192.122:946,0.00%,100 ms
162.159.192.128:880,0.00%,100 ms
162.159.192.128:946,0.00%,100 ms
188.114.97.176:946,0.00%,100 ms
162.159.192.206:880,0.00%,100 ms
162.159.192.98:946,0.00%,100 ms
162.159.192.72:880,0.00%,100 ms
162.159.192.122:880,0.00%,100 ms
188.114.96.163:946,0.00%,104 ms
188.114.96.228:946,0.00%,107 ms
188.114.98.230:880,0.00%,107 ms
188.114.98.18:880,0.00%,107 ms
188.114.98.205:880,0.00%,108 ms
188.114.99.6:880,0.00%,108 ms
188.114.97.56:946,0.00%,108 ms
188.114.98.143:946,0.00%,108 ms
188.114.97.97:946,0.00%,108 ms
188.114.97.98:946,0.00%,108 ms
162.159.195.143:880,0.00%,108 ms
188.114.98.147:880,0.00%,108 ms
188.114.98.104:946,0.00%,108 ms
188.114.98.108:946,0.00%,108 ms
162.159.195.61:946,0.00%,108 ms
162.159.195.194:946,0.00%,108 ms
162.159.195.25:946,0.00%,108 ms
188.114.99.49:880,0.00%,108 ms
188.114.99.215:880,0.00%,108 ms
188.114.97.97:880,0.00%,108 ms
188.114.97.73:880,0.00%,108 ms
188.114.99.232:946,0.00%,108 ms
162.159.195.4:880,0.00%,108 ms
188.114.97.31:880,0.00%,108 ms
188.114.99.40:946,0.00%,108 ms
162.159.195.25:880,0.00%,108 ms
188.114.98.147:946,0.00%,108 ms
162.159.195.131:946,0.00%,108 ms
188.114.97.56:880,0.00%,108 ms
188.114.98.18:946,0.00%,108 ms
188.114.99.26:946,0.00%,108 ms
188.114.99.72:880,0.00%,108 ms
188.114.97.73:946,0.00%,108 ms
188.114.98.104:880,0.00%,108 ms
162.159.195.242:946,0.00%,108 ms
188.114.98.1:880,0.00%,108 ms
162.159.195.203:946,0.00%,108 ms
162.159.195.219:880,0.00%,109 ms
162.159.195.226:946,0.00%,109 ms
162.159.195.143:946,0.00%,109 ms
188.114.99.176:946,0.00%,109 ms
188.114.96.207:880,0.00%,109 ms
188.114.98.94:880,0.00%,109 ms
188.114.97.121:880,0.00%,109 ms
188.114.98.128:946,0.00%,109 ms
162.159.195.131:880,0.00%,109 ms
162.159.195.226:880,0.00%,109 ms
188.114.99.49:946,0.00%,109 ms
162.159.195.222:880,0.00%,109 ms
162.159.195.169:946,0.00%,109 ms
188.114.96.188:946,0.00%,109 ms
188.114.99.124:880,0.00%,109 ms
162.159.195.211:880,0.00%,109 ms
188.114.98.82:946,0.00%,109 ms
188.114.97.253:880,0.00%,109 ms
188.114.98.80:880,0.00%,109 ms
162.159.195.219:946,0.00%,109 ms
188.114.99.26:880,0.00%,109 ms
188.114.97.31:946,0.00%,109 ms
162.159.195.222:946,0.00%,109 ms
188.114.97.159:946,0.00%,109 ms
